status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
669417179838095_1073939586052517,"From the city, to the state, to the country, to the world.📍📍📍 Where would you love to perform? 🌎",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1073939586052517/?type=3,https://www.facebook.com/FreshEmpire/posts/1073939586052517:0,2016-10-15 19:20:01,2315,12,14,2210,57,13,33,1,1
669417179838095_1072674516179024,"SHARE the tobacco-free hustle:

Step 1 - Chase life.
Step 2 - Get on.
Step 3 - Help others blow up.",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1072674516179024/?type=3,https://www.facebook.com/FreshEmpire/posts/1072674516179024:0,2016-10-14 12:45:01,487,0,13,469,13,1,1,1,2
669417179838095_1071554539624355,"Roc Nation executive, Lenny S, is listening to music submitted in our contest. Watch the vid and submit yours today. 👉🏽 👉🏽 👉🏽 http://bit.ly/Cosign1",BFTC Lenny Promo 30 Final,video,https://www.facebook.com/FreshEmpire/videos/1071554539624355/,https://www.facebook.com/FreshEmpire/videos/1071554539624355/,2016-10-13 14:15:46,20,0,4,20,0,0,0,0,0
669417179838095_1071464982966644,,Fresh Empire,photo,https://www.facebook.com/FreshEmpire/photos/a.1071341596312316.1073741930.669417179838095/1071341649645644/?type=3,https://www.facebook.com/FreshEmpire/posts/1071464982966644,2016-10-13 12:24:25,601,0,0,585,12,0,4,0,0
669417179838095_1070718339707975,TAG your friends that you think would fit in with the tobacco-free crew at Fresh Empire. 💯 🙋🏽 🙋🏽 💯,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1070718339707975/?type=3,https://www.facebook.com/FreshEmpire/posts/1070718339707975:0,2016-10-12 18:45:02,4574,33,27,4394,161,3,15,0,1
669417179838095_1069617249818084,"S/O to our Fresh Moves contest winner who won a trip to LA to meet The Kinjaz! If you want your chance at some swaggy prizes too, make sure to hop into our Battle for the Cosign contest by Nov. 2nd. http://bit.ly/Cosign1",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1069617249818084/?type=3,https://www.facebook.com/FreshEmpire/posts/1069617249818084:0,2016-10-11 15:32:02,10,0,0,10,0,0,0,0,0
669417179838095_1069372349842574,Chasing life over death means living tobacco-free.  'Cause each cig smoked reduces your overall lifespan by 11 mins.,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1069372349842574/?type=3,https://www.facebook.com/FreshEmpire/posts/1069372349842574:0,2016-10-11 10:15:01,818,5,15,783,29,5,1,0,0
669417179838095_1068732923239850,"The youngest in charge, WondaGurl, is droppin' serious gems about being successful in the music biz.",Battle for the Cosign |  Wondagurl,video,https://www.facebook.com/FreshEmpire/videos/1068732923239850/,https://www.facebook.com/FreshEmpire/videos/1068732923239850/,2016-10-10 15:15:26,866,16,35,801,40,20,5,0,0
669417179838095_1068492003263942,"Who wants it the most? Wondagurl is looking for the next rapper, singer, or beat boxer. Make sure you enter your submission in the Battle for the Cosign here: http://bit.ly/Cosign1",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1068492003263942/?type=3,https://www.facebook.com/FreshEmpire/posts/1068492003263942:0,2016-10-10 09:00:01,97,0,4,96,1,0,0,0,0
669417179838095_1067685136677962,"Break boundaries, keep pushin', and never let cigs trap you in a box. How do you chase life? 💯  💯 💯",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1067685136677962/?type=3,https://www.facebook.com/FreshEmpire/posts/1067685136677962:0,2016-10-09 08:30:01,777,4,6,744,29,0,4,0,0
669417179838095_1067093036737172,Where the real go-getters at? TAG someone that grinds as hard as you. 👊🏽 👊🏽 👊🏽,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1067093036737172/?type=3,https://www.facebook.com/FreshEmpire/posts/1067093036737172:0,2016-10-08 14:30:01,5570,16,28,5323,184,49,11,1,2
669417179838095_1066252920154517,"Straight up, here's your chance to kick it with Big K.R.I.T. in the studio, chop it up with music mogul Lenny S, and more. Battle For The Cosign is the move! http://bit.ly/Cosign1",Battle For The Cosign,video,https://www.facebook.com/FreshEmpire/videos/1066252920154517/,https://www.facebook.com/FreshEmpire/videos/1066252920154517/,2016-10-07 17:25:33,31,2,3,30,1,0,0,0,0
669417179838095_1066042193508923,"Who fell through and kicked it with Fresh Empire the weekend of 9.28 - 10.2? TAG yourself or your squad, if you were at the Summer Sixteen Tour: Drake & Future on 9.28 and 9.29 in Inglewood, CA, Fresh for the Fall Tailgate in Greensboro, NC, Chance the Rapper concert in Boston, Raleigh Take Over with Miss Mulatto, Post Malone: Hollywood Dreams Tour in Norfolk, VA, So Turnt Saturday in Los Angeles, Sweet Auburn Music Fest in Atlanta, State Fair Classic in Dallas, The Solexchange in Brooklyn, The Sneaker Exit in Atlanta, Squad Goals in Charlotte, and Trillmania in Miami.",Fresh Empire,photo,https://www.facebook.com/FreshEmpire/photos/a.1065993386847137.1073741929.669417179838095/1065993566847119/?type=3,https://www.facebook.com/FreshEmpire/posts/1066042193508923,2016-10-07 11:47:08,647,0,0,629,12,4,1,0,1
669417179838095_1065504993562643,"Smoking is like hustlin' backwards, cause cigs can cut your life short by 10 years. Forget death, chase life.",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1065504993562643/?type=3,https://www.facebook.com/FreshEmpire/posts/1065504993562643:0,2016-10-06 17:30:01,629,3,13,607,21,0,1,0,0
669417179838095_1063675263745616,"By keeping it fresh and tobacco-free, you stay callin' the shots in your life. 💪🏽 💪🏽 💪🏽 Are you in control?",Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1063675263745616/?type=3,https://www.facebook.com/FreshEmpire/posts/1063675263745616:0,2016-10-04 13:45:01,4031,16,21,3800,214,15,2,0,0
669417179838095_1063030710476738,Big K.R.I.T. kicked it with Fresh Empire to talk about why it's important to keep his health on point as he grinds day in and day out. Watch and share.,Big K.R.I.T. | Defying the Odds Pt.1,video,https://www.facebook.com/FreshEmpire/videos/1063030710476738/,https://www.facebook.com/FreshEmpire/videos/1063030710476738/,2016-10-03 18:16:14,765,27,36,726,26,2,10,1,0
669417179838095_1061985373914605,When they're braggin' about yesterday's accomplishments but you're already lookin' to the future. 🔮 🔮 🔮 What does it hold?,Timeline Photos,photo,https://www.facebook.com/FreshEmpire/photos/a.725948810851598.1073741828.669417179838095/1061985373914605/?type=3,https://www.facebook.com/FreshEmpire/posts/1061985373914605:0,2016-10-02 14:30:02,661,0,3,641,18,0,0,0,2
